filepath,filename,modality,channel,emotion_id,emotion,intensity,statement,repetition,actor,gender
../../data\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,03,speech,01,neutral,normal,01,01,1,male
../../data\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,03,speech,01,neutral,normal,01,02,1,male
../../data\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,03,speech,01,neutral,normal,02,01,1,male
../../data\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,03,speech,01,neutral,normal,02,02,1,male
../../data\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,03,speech,02,calm,normal,01,01,1,male
../../data\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,03,speech,02,calm,normal,01,02,1,male
../../data\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,03,speech,02,calm,normal,02,01,1,male
../../data\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,03,speech,02,calm,normal,02,02,1,male
../../data\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,03,speech,02,calm,strong,01,01,1,male
../../data\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,03,speech,02,calm,strong,01,02,1,male
../../data\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,03,speech,02,calm,strong,02,01,1,male
../../data\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,03,speech,02,calm,strong,02,02,1,male
../../data\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,03,speech,03,happy,normal,01,01,1,male
../../data\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,03,speech,03,happy,normal,01,02,1,male
../../data\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,03,speech,03,happy,normal,02,01,1,male
../../data\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,03,speech,03,happy,normal,02,02,1,male
../../data\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,03,speech,03,happy,strong,01,01,1,male
../../data\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,03,speech,03,happy,strong,01,02,1,male
../../data\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,03,speech,03,happy,strong,02,01,1,male
../../data\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,03,speech,03,happy,strong,02,02,1,male
../../data\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,03,speech,04,sad,normal,01,01,1,male
../../data\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,03,speech,04,sad,normal,01,02,1,male
../../data\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,03,speech,04,sad,normal,02,01,1,male
../../data\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,03,speech,04,sad,normal,02,02,1,male
../../data\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,03,speech,04,sad,strong,01,01,1,male
../../data\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,03,speech,04,sad,strong,01,02,1,male
../../data\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,03,speech,04,sad,strong,02,01,1,male
../../data\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,03,speech,04,sad,strong,02,02,1,male
../../data\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,03,speech,05,angry,normal,01,01,1,male
../../data\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,03,speech,05,angry,normal,01,02,1,male
